Category,Movie,Name,Winner,Year
Actor in a Leading Role,Crazy Heart,Jeff Bridges,Won,2010
Actor in a Leading Role,Up in the Air,George Clooney,Lost,2010
Actor in a Leading Role,A Single Man,Colin Firth,Lost,2010
Actor in a Leading Role,Invictus,Morgan Freeman,Lost,2010
Actor in a Leading Role,The Hurt Locker,Jeremy Renner,Lost,2010
Actor in a Supporting Role,Inglourious Basterds,Christoph Waltz,Won,2010
Actor in a Supporting Role,Invictus,Matt Damon,Lost,2010
Actor in a Supporting Role,The Messenger,Woody Harrelson,Lost,2010
Actor in a Supporting Role,The Last Station,Christopher Plummer,Lost,2010
Actor in a Supporting Role,The Lovely Bones,Stanley Tucci,Lost,2010
Actress in a Leading Role,The Blind Side,Sandra Bullock,Won,2010
Actress in a Leading Role,The Last Station,Helen Mirren,Lost,2010
Actress in a Leading Role,An Education,Carey Mulligan,Lost,2010
Actress in a Leading Role,Precious: Based on the Novel 'Push' by Sapphire,Gabourey Sidibe,Lost,2010
Actress in a Leading Role,Julie & Julia,Meryl Streep,Lost,2010
Actress in a Supporting Role,Precious: Based on the Novel 'Push' by Sapphire,Mo'Nique,Won,2010
Actress in a Supporting Role,Nine,Penélope Cruz,Lost,2010
Actress in a Supporting Role,Up in the Air,Vera Farmiga,Lost,2010
Actress in a Supporting Role,Crazy Heart,Maggie Gyllenhaal,Lost,2010
Actress in a Supporting Role,Up in the Air,Anna Kendrick,Lost,2010
Animated Feature Film,Up,Pete Docter,Won,2010
Animated Feature Film,Coraline,Henry Selick,Lost,2010
Animated Feature Film,Fantastic Mr. Fox,Wes Anderson,Lost,2010
Animated Feature Film,The Princess and the Frog,John Musker and Ron Clements,Lost,2010
Animated Feature Film,The Secret of Kells,Tomm Moore,Lost,2010
Art Direction,Avatar,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair,Won,2010
Art Direction,The Imaginarium of Doctor Parnassus,Production Design: Dave Warren and Anastasia Masaro; Set Decoration: Caroline Smith,Lost,2010
Art Direction,Nine,Production Design: John Myhre; Set Decoration: Gordon Sim,Lost,2010
Art Direction,Sherlock Holmes,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer,Lost,2010
Art Direction,The Young Victoria,Production Design: Patrice Vermette; Set Decoration: Maggie Gray,Lost,2010
Cinematography,Avatar,Mauro Fiore,Won,2010
Cinematography,Harry Potter and the Half-Blood Prince,Bruno Delbonnel,Lost,2010
Cinematography,The Hurt Locker,Barry Ackroyd,Lost,2010
Cinematography,Inglourious Basterds,Robert Richardson,Lost,2010
Cinematography,The White Ribbon,Christian Berger,Lost,2010
Costume Design,The Young Victoria,Sandy Powell,Won,2010
Costume Design,Bright Star,Janet Patterson,Lost,2010
Costume Design,Coco before Chanel,Catherine Leterrier,Lost,2010
Costume Design,The Imaginarium of Doctor Parnassus,Monique Prudhomme,Lost,2010
Costume Design,Nine,Colleen Atwood,Lost,2010
Directing,The Hurt Locker,Kathryn Bigelow,Won,2010
Directing,Avatar,James Cameron,Lost,2010
Directing,Inglourious Basterds,Quentin Tarantino,Lost,2010
Directing,Precious: Based on the Novel 'Push' by Sapphire,Lee Daniels,Lost,2010
Directing,Up in the Air,Jason Reitman,Lost,2010
Documentary (Feature),The Cove,Louie Psihoyos and Fisher Stevens,Won,2010
Documentary (Feature),Burma VJ,Burma VJ,Lost,2010
Documentary (Feature),"Food, Inc.",Robert Kenner and Elise Pearlstein,Lost,2010
Documentary (Feature),The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Judith Ehrlich and Rick Goldsmith,Lost,2010
Documentary (Feature),Which Way Home,Rebecca Cammisa,Lost,2010
Documentary (Short Subject),Music by Prudence,Roger Ross Williams and Elinor Burkett,Won,2010
Documentary (Short Subject),China's Unnatural Disaster: The Tears of Sichuan Province,Jon Alpert and Matthew O'Neill,Lost,2010
Documentary (Short Subject),The Last Campaign of Governor Booth Gardner,Daniel Junge and Henry Ansbacher,Lost,2010
Documentary (Short Subject),The Last Truck: Closing of a GM Plant,Steven Bognar and Julia Reichert,Lost,2010
Documentary (Short Subject),,Bartek Konopka and Anna Wydra,Lost,2010
Film Editing,The Hurt Locker,Bob Murawski and Chris Innis,Won,2010
Film Editing,Avatar,"Stephen Rivkin, John Refoua and James Cameron",Lost,2010
Film Editing,District 9,Julian Clarke,Lost,2010
Film Editing,Inglourious Basterds,Sally Menke,Lost,2010
Film Editing,Precious: Based on the Novel 'Push' by Sapphire,Joe Klotz,Lost,2010
Foreign Language Film,The Secret in Their Eyes,Argentina,Won,2010
Foreign Language Film,Ajami,Israel,Lost,2010
Foreign Language Film,The Milk of Sorrow,Peru,Lost,2010
Foreign Language Film,A Prophet,France,Lost,2010
Foreign Language Film,The White Ribbon,Germany,Lost,2010
Irving G. Thalberg Memorial Award,,John Calley,Won,2010
Makeup,Star Trek,"Barney Burman, Mindy Hall and Joel Harlow",Won,2010
Makeup,Il Divo,Aldo Signoretti and Vittorio Sodano,Lost,2010
Makeup,The Young Victoria,Jon Henry Gordon and Jenny Shircore,Lost,2010
Music (Original Score),Up,Michael Giacchino,Won,2010
Music (Original Score),Avatar,James Horner,Lost,2010
Music (Original Score),Fantastic Mr. Fox,Alexandre Desplat,Lost,2010
Music (Original Score),The Hurt Locker,Marco Beltrami and Buck Sanders,Lost,2010
Music (Original Score),Sherlock Holmes,Hans Zimmer,Lost,2010
Music (Original Song),Crazy Heart,"The Weary Kind (Theme From Crazy Heart) in ""Crazy Heart"" Music and Lyric by Ryan Bingham and T Bone Burnett",Won,2010
Music (Original Song),The Princess and the Frog,"Almost There in ""The Princess and the Frog"" Music and Lyric by Randy Newman",Lost,2010
Music (Original Song),The Princess and the Frog,"Down In New Orleans in ""The Princess and the Frog"" Music and Lyric by Randy Newman",Lost,2010
Music (Original Song),Paris 36,"Loin De Paname in ""Paris 36"" Music by Reinhardt Wagner; Lyric by Frank Thomas",Lost,2010
Music (Original Song),Nine,"Take It All in ""Nine"" Music and Lyric by Maury Yeston",Lost,2010
Best Picture,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",Won,2010
Best Picture,Avatar,"James Cameron and Jon Landau, Producers",Lost,2010
Best Picture,The Blind Side,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers",Lost,2010
Best Picture,District 9,"Peter Jackson and Carolynne Cunningham, Producers",Lost,2010
Best Picture,An Education,"Finola Dwyer and Amanda Posey, Producers",Lost,2010
Best Picture,Inglourious Basterds,"Lawrence Bender, Producer",Lost,2010
Best Picture,Precious: Based on the Novel 'Push' by Sapphire,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers",Lost,2010
Best Picture,A Serious Man,"Joel Coen and Ethan Coen, Producers",Lost,2010
Best Picture,Up,"Jonas Rivera, Producer",Lost,2010
Best Picture,Up in the Air,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers",Lost,2010
Short Film (Animated),Logorama,Nicolas Schmerkin,Won,2010
Short Film (Animated),French Roast,Fabrice O. Joubert,Lost,2010
Short Film (Animated),Granny O'Grimm's Sleeping Beauty,Nicky Phelan and Darragh O'Connell,Lost,2010
Short Film (Animated),The Lady and the Reaper (La Dama y la Muerte),Javier Recio Gracia,Lost,2010
Short Film (Animated),A Matter of Loaf and Death,Nick Park,Lost,2010
Short Film (Live Action),The New Tenants,Joachim Back and Tivi Magnusson,Won,2010
Short Film (Live Action),The Door,Juanita Wilson and James Flynn,Lost,2010
Short Film (Live Action),Instead of Abracadabra,Patrik Eklund and Mathias Fjellström,Lost,2010
Short Film (Live Action),Kavi,Gregg Helvey,Lost,2010
Short Film (Live Action),Miracle Fish,Luke Doolan and Drew Bailey,Lost,2010
Sound Editing,The Hurt Locker,Paul N.J. Ottosson,Won,2010
Sound Editing,Avatar,Christopher Boyes and Gwendolyn Yates Whittle,Lost,2010
Sound Editing,Inglourious Basterds,Wylie Stateman,Lost,2010
Sound Editing,Star Trek,Mark Stoeckinger and Alan Rankin,Lost,2010
Sound Editing,Up,Michael Silvers and Tom Myers,Lost,2010
Sound Mixing,The Hurt Locker,Paul N.J. Ottosson and Ray Beckett,Won,2010
Sound Mixing,Avatar,"Christopher Boyes, Gary Summers, Andy Nelson and Tony Johnson",Lost,2010
Sound Mixing,Inglourious Basterds,"Michael Minkler, Tony Lamberti and Mark Ulano",Lost,2010
Sound Mixing,Star Trek,"Anna Behlmer, Andy Nelson and Peter J. Devlin",Lost,2010
Sound Mixing,Transformers: Revenge of the Fallen,"Greg P. Russell, Gary Summers and Geoffrey Patterson",Lost,2010
Visual Effects,Avatar,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones",Won,2010
Visual Effects,District 9,"Dan Kaufman, Peter Muyzers, Robert Habros and Matt Aitken",Lost,2010
Visual Effects,Star Trek,"Roger Guyett, Russell Earl, Paul Kavanagh and Burt Dalton",Lost,2010
Writing (Adapted Screenplay),Precious: Based on the Novel 'Push' by Sapphire,Screenplay by Geoffrey Fletcher,Won,2010
Writing (Adapted Screenplay),District 9,Written by Neill Blomkamp and Terri Tatchell,Lost,2010
Writing (Adapted Screenplay),An Education,Screenplay by Nick Hornby,Lost,2010
Writing (Adapted Screenplay),In the Loop,"Screenplay by Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche",Lost,2010
Writing (Adapted Screenplay),Up in the Air,Screenplay by Jason Reitman and Sheldon Turner,Lost,2010
Writing (Original Screenplay),The Hurt Locker,Written by Mark Boal,Won,2010
Writing (Original Screenplay),Inglourious Basterds,Written by Quentin Tarantino,Lost,2010
Writing (Original Screenplay),The Messenger,Written by Alessandro Camon & Oren Moverman,Lost,2010
