date,passengers
1995-02-01,70562.0
1995-03-01,2842669.0
1995-04-01,2422712.0
1995-05-01,2532545.0
1995-06-01,2803418.0
1995-07-01,2917049.0
1995-08-01,2933160.0
1995-09-01,2415564.0
1995-10-01,2469394.0
1995-11-01,2293523.0
1995-12-01,2589163.0
1996-01-01,2475317.0
1996-02-01,2499223.0
1996-03-01,2972450.0
1996-04-01,2455026.0
1996-05-01,2599531.0
1996-06-01,2865403.0
1996-07-01,3064468.0
1996-08-01,3170296.0
1996-09-01,2548674.0
1996-10-01,2652334.0
1996-11-01,2280389.0
1996-12-01,2713063.0
1997-01-01,2584368.0
1997-02-01,2506535.0
1997-03-01,3123970.0
1997-04-01,2577592.0
1997-05-01,2656195.0
1997-06-01,2997495.0
1997-07-01,3407801.0
1997-08-01,3476417.0
1997-09-01,2903427.0
1997-10-01,2870734.0
1997-11-01,2733884.0
1997-12-01,3131419.0
1998-01-01,2852885.0
1998-02-01,2698369.0
1998-03-01,3300200.0
1998-04-01,2875492.0
1998-05-01,2933015.0
1998-06-01,3248388.0
1998-07-01,3502092.0
1998-08-01,3481039.0
1998-09-01,3003151.0
1998-10-01,3020017.0
1998-11-01,2774568.0
1998-12-01,3142184.0
1999-01-01,2887863.0
1999-02-01,2785842.0
1999-03-01,3438106.0
1999-04-01,2966812.0
1999-05-01,3030452.0
1999-06-01,3439174.0
1999-07-01,3750011.0
1999-08-01,3645740.0
1999-09-01,3056102.0
1999-10-01,3129247.0
1999-11-01,2864243.0
1999-12-01,3040425.0
2000-01-01,2853239.0
2000-02-01,2937578.0
2000-03-01,3521672.0
2000-04-01,3074328.0
2000-05-01,3209044.0
2000-06-01,3611630.0
2000-07-01,3719617.0
2000-08-01,3519532.0
2000-09-01,2962471.0
2000-10-01,3242461.0
2000-11-01,2968493.0
2000-12-01,3131622.0
2001-01-01,2891751.0
2001-02-01,2807417.0
2001-03-01,3529081.0
2001-04-01,2996348.0
2001-05-01,3197519.0
2001-06-01,3597743.0
2001-07-01,3816608.0
2001-08-01,3774246.0
2001-09-01,1984168.0
2001-10-01,2583921.0
2001-11-01,2400384.0
2001-12-01,2513620.0
2002-01-01,2483997.0
2002-02-01,2503810.0
2002-03-01,3144000.0
2002-04-01,2774232.0
2002-05-01,3008924.0
2002-06-01,3375469.0
2002-07-01,3595469.0
2002-08-01,3529597.0
2002-09-01,2709400.0
2002-10-01,2841689.0
2002-11-01,2524103.0
2002-12-01,3161394.0
2003-01-01,2778716.0
2003-02-01,2712695.0
2003-03-01,3092696.0
2003-04-01,2805818.0
2003-05-01,3029380.0
2003-06-01,3408398.0
2003-07-01,3745752.0
2003-08-01,3593020.0
2003-09-01,2960096.0
2003-10-01,3168824.0
2003-11-01,2888380.0
2003-12-01,3321492.0
2004-01-01,3063912.0
2004-02-01,3025738.0
2004-03-01,3661566.0
2004-04-01,3326387.0
2004-05-01,3532089.0
2004-06-01,3989473.0
2004-07-01,4228648.0
2004-08-01,4009423.0
2004-09-01,3304468.0
2004-10-01,3450029.0
2004-11-01,3185005.0
2004-12-01,3495055.0
2005-01-01,3234707.0
2005-02-01,3064798.0
2005-03-01,3803058.0
2005-04-01,3256929.0
2005-05-01,3675993.0
2005-06-01,4071287.0
2005-07-01,4275779.0
2005-08-01,4122226.0
2005-09-01,3450484.0
2005-10-01,3523138.0
2005-11-01,3362441.0
2005-12-01,3546529.0
2006-01-01,3498617.0
2006-02-01,3386970.0
2006-03-01,4184868.0
2006-04-01,3832268.0
2006-05-01,4180430.0
2006-06-01,4424646.0
2006-07-01,4606750.0
2006-08-01,4383166.0
2006-09-01,3759633.0
2006-10-01,3951615.0
2006-11-01,3674866.0
2006-12-01,3441187.0
2007-01-01,3701297.0
2007-02-01,3520982.0
2007-03-01,4364239.0
2007-04-01,4038014.0
2007-05-01,4299721.0
2007-06-01,4569938.0
2007-07-01,4821082.0
2007-08-01,4691621.0
2007-09-01,3951172.0
2007-10-01,4157284.0
2007-11-01,3861636.0
2007-12-01,3886366.0
2008-01-01,3760828.0
2008-02-01,3834362.0
2008-03-01,4597347.0
2008-04-01,4078112.0
2008-05-01,4450742.0
2008-06-01,4829829.0
2008-07-01,5000505.0
2008-08-01,4768799.0
2008-09-01,4017761.0
2008-10-01,4154517.0
2008-11-01,3679286.0
2008-12-01,4073246.0
2009-01-01,3669679.0
2009-02-01,3521618.0
2009-03-01,4303736.0
2009-04-01,3941539.0
2009-05-01,4192174.0
2009-06-01,4708808.0
2009-07-01,5109342.0
2009-08-01,4877212.0
2009-09-01,4011123.0
2009-10-01,4101004.0
2009-11-01,3727828.0
2009-12-01,4003422.0
2010-01-01,3723995.0
2010-02-01,3567371.0
2010-03-01,4449558.0
2010-04-01,4077833.0
2010-05-01,4370892.0
2010-06-01,4790182.0
2010-07-01,5060508.0
2010-08-01,4924060.0
2010-09-01,4317995.0
2010-10-01,4470006.0
2010-11-01,4023152.0
2010-12-01,4209486.0
2011-01-01,3928336.0
2011-02-01,3666599.0
2011-03-01,4503719.0
2011-04-01,4122932.0
2011-05-01,4536566.0
2011-06-01,4863158.0
2011-07-01,5099489.0
2011-08-01,5037947.0
2011-09-01,4344205.0
2011-10-01,4361142.0
2011-11-01,4088543.0
2011-12-01,4296496.0
2012-01-01,3905138.0
2012-02-01,3759019.0
2012-03-01,4458044.0
2012-04-01,4137759.0
2012-05-01,4531938.0
2012-06-01,4818197.0
2012-07-01,5089501.0
2012-08-01,5083518.0
2012-09-01,4379049.0
2012-10-01,4505553.0
2012-11-01,4179802.0
2012-12-01,4308760.0
2013-01-01,4024783.0
2013-02-01,3697097.0
2013-03-01,4456431.0
2013-04-01,4031540.0
2013-05-01,4470164.0
2013-06-01,4716309.0
2013-07-01,4959077.0
2013-08-01,4827942.0
2013-09-01,4346502.0
2013-10-01,4476878.0
2013-11-01,4033321.0
2013-12-01,4516315.0
2014-01-01,4056858.0
2014-02-01,3779715.0
2014-03-01,4544364.0
2014-04-01,4161815.0
2014-05-01,4563190.0
2014-06-01,4830401.0
2014-07-01,5068232.0
2014-08-01,4935013.0
2014-09-01,4489372.0
2014-10-01,4616603.0
2014-11-01,4029659.0
2014-12-01,4397292.0
2015-01-01,3985981.0
2015-02-01,3693876.0
2015-03-01,4533547.0
2015-04-01,4223515.0
2015-05-01,4532025.0
2015-06-01,4803699.0
2015-07-01,5019260.0
2015-08-01,4896795.0
2015-09-01,4532945.0
2015-10-01,4827675.0
2015-11-01,4383945.0
2015-12-01,4581239.0
2016-01-01,4289432.0
2016-02-01,4069006.0
2016-03-01,4689761.0
2016-04-01,4377597.0
2016-05-01,4901890.0
2016-06-01,5208947.0
2016-07-01,5474503.0
2016-08-01,5395910.0
2016-09-01,5112271.0
2016-10-01,5226077.0
2016-11-01,4695897.0
2016-12-01,4825224.0
2017-01-01,4434862.0
2017-02-01,4204744.0
2017-03-01,5193855.0
2017-04-01,4812910.0
2017-05-01,5271223.0
2017-06-01,5650682.0
2017-07-01,5839661.0
2017-08-01,5727326.0
2017-09-01,5097144.0
2017-10-01,5282947.0
2017-11-01,4913238.0
2017-12-01,4950804.0
2018-01-01,4685586.0
2018-02-01,4345062.0
2018-03-01,5278712.0
2018-04-01,5096401.0
2018-05-01,5511995.0
