year,month,monthly_anomaly,monthly_uncertainty
1750,1,0.302,5.003
1750,2,-1.412,4.161
1750,3,-0.268,2.682
1750,4,0.702,1.966
1750,5,-0.719,2.953
1750,6,-0.399,3.504
1750,7,0.469,2.692
1750,8,1.415,3.344
1750,9,-0.194,2.924
1750,10,-1.544,2.098
1750,11,-4.006,1.94
1750,12,-2.477,6.547
1751,1,-0.632,4.014
1751,2,-2.755,6.178
1751,3,0.46,2.378
1751,4,-0.09,3.857
1751,5,-0.623,3.672
1751,6,-1.105,3.443
1751,7,1.461,2.249
1751,8,0.676,2.277
1751,9,-0.375,2.43
1751,10,0.063,1.918
1751,11,-1.637,1.851
1751,12,NaN,NaN
1752,1,-2.402,4.795
1752,2,2.417,3.849
1752,3,0.567,2.638
1752,4,-0.412,2.363
1752,5,0.892,2.266
1752,6,0.332,2.396
1752,7,1.048,1.884
1752,8,-0.127,1.306
1752,9,0.883,1.652
1752,10,-0.777,1.744
1752,11,0.776,2.857
1752,12,0.193,4.692
1753,1,0.204,3.404
1753,2,-1.155,5.072
1753,3,1.043,2.628
1753,4,0.149,2.705
1753,5,1.102,3.37
1753,6,0.147,3.138
1753,7,-0.129,2.722
1753,8,0.083,1.651
1753,9,0.871,2.678
1753,10,0.078,1.686
1753,11,-0.268,2.608
1753,12,-2.653,3.487
1754,1,0.402,4.025
1754,2,-2.737,5.78
1754,3,-0.849,2.799
1754,4,4.417,2.027
1754,5,1.325,2.252
1754,6,0.552,3.518
1754,7,0.323,2.013
1754,8,-0.494,1.537
1754,9,-0.606,1.956
1754,10,0.789,2.387
1754,11,0.699,2.563
1754,12,1.181,3.536
1755,1,0.056,5.069
1755,2,-1.991,4.617
1755,3,-1.357,3.37
1755,4,1.295,3.376
1755,5,1.452,3.485
1755,6,1.008,5.274
1755,7,0.559,2.324
1755,8,-0.644,2.121
1755,9,-0.301,2.327
1755,10,2.529,3.059
1755,11,-0.184,4.098
1755,12,-1.087,2.697
1756,1,1.682,3.597
1756,2,2.98,3.543
1756,3,-0.651,4.606
1756,4,1.877,2.77
1756,5,1.775,3.669
1756,6,0.464,3.552
1756,7,-0.75,2.02
1756,8,-0.37,1.778
1756,9,0.216,2.505
1756,10,-0.782,1.962
1756,11,-1.305,3.297
1756,12,-1.842,3.218
1757,1,-1.725,3.806
1757,2,1.404,3.803
1757,3,-0.477,3.223
1757,4,0.949,4.222
1757,5,1.661,4.582
1757,6,2.762,4.328
1757,7,2.593,4.377
1757,8,3.332,2.807
1757,9,2.721,2.264
1757,10,-2.63,3.177
1757,11,-1.36,2.609
1757,12,-1.852,4.166
1758,1,-3.631,6.717
1758,2,-2.589,3.893
1758,3,-1.335,3.633
1758,4,-0.545,3.169
1758,5,-1.984,1.996
1758,6,-0.83,2.667
1758,7,-0.97,2.684
1758,8,-2.27,1.425
1758,9,-1.587,2.185
1758,10,-6.487,3.222
1758,11,-0.076,3.017
1758,12,-0.515,2.611
1759,1,2.364,3.261
1759,2,1.464,5.015
1759,3,-0.437,2.31
1759,4,-1.326,2.593
1759,5,-1.32,2.009
1759,6,-0.113,1.529
1759,7,-1.963,1.784
1759,8,0.739,3.446
1759,9,0.294,2.56
1759,10,-1.241,2.574
1759,11,-1.943,2.375
1759,12,-3.84,2.338
1760,1,-3.444,3.318
1760,2,-0.168,3.466
1760,3,-3.193,3.778
1760,4,-0.981,2.743
1760,5,-0.54,1.996
1760,6,-1.547,2.142
1760,7,-2.598,2.513
1760,8,-0.555,1.866
1760,9,-1.135,1.889
1760,10,-2.026,2.389
1760,11,-0.328,2.85
1760,12,-1.859,4.615
1761,1,-1.634,3.764
1761,2,-1.065,3.749
1761,3,0.652,2.309
1761,4,-0.265,1.298
1761,5,2.188,1.524
1761,6,3.056,2.972
1761,7,4.242,2.287
1761,8,1.502,1.396
1761,9,0.765,3.325
1761,10,-2.307,3.025
1761,11,-0.359,3.358
1761,12,-4.739,4.052
1762,1,3.714,3.592
1762,2,1.161,5.352
1762,3,-1.523,3.502
1762,4,0.69,2.053
1762,5,-0.365,3.811
1762,6,-0.811,2.848
1762,7,-0.819,2.789
1762,8,0.543,2.384
1762,9,-1.098,3.351
1762,10,-2.37,2.907
1762,11,0.739,1.97
1762,12,-0.385,3.372
