Facility Type,School Type,School District,School Name,Address,6-12 Grade Enrollment,Total Enrollment,Average Up to Date Rate,Average Exemption Rate,Average In Process Rate,Average Incomplete Record Rate,Average No Record Rate,HepB: Up to Date Rate,HepB: Medical Exemptions Rate,HepB: Religious Exemptions Rate,HepB: Personal Exemptions Rate,HepB: In Process Rate,HepB: McKinny-Vento Exemptions Rate,HepB: Incomplete Record Rate,HepB: No Record Rate,Dtap: Up to Date Rate,Dtap: Medical Exemptions Rate,Dtap: Religious Exemptions Rate,Dtap: Personal Exemptions Rate,Dtap: In Process Rate,Dtap: McKinny-Vento Exemptions Rate,Dtap: Incomplete Record Rate,Dtap: No Record Rate,Polio: Up to Date Rate,Polio: Medical Exemptions Rate,Polio: Religious Exemptions Rate,Polio: Personal Exemptions Rate,Polio: In Process Rate,Polio: McKinny-Vento Exemptions Rate,Polio: Incomplete Record Rate,Polio: No Record Rate,MMR: Up to Date Rate,MMR: Medical Exemptions Rate,MMR: Religious Exemptions Rate,MMR: Personal Exemptions Rate,MMR: In Process Rate,MMR: McKinny-Vento Exemptions Rate,MMR: Incomplete Record Rate,MMR: No Record Rate,Varicella: Up to Date Rate,Varicella: Medical Exemptions Rate,Varicella: Religious Exemptions Rate,Varicella: Personal Exemptions Rate,Varicella: In Process Rate,Varicella: McKinny-Vento Exemptions Rate,Varicella: Incomplete Record Rate,Varicella: No Record Rate,Tdap: Up to Date,Tdap: Medical Exemptions,Tdap: Religious Exemptions,Tdap: Personal Exemptions,Tdap: In Process,Tdap: McKinny-Vento Exemptions,Tdap: Incomplete Record,Tdap: No Record,Street Address,Zipcode,ADDRESS,CHARTER,CITY,DISTRICT_NAME,DISTRICT_NUMBER,DISTRICT_SETTING,HIGHEST_GRADE,LOWEST_GRADE,PHONE,SCHOOL_CODE,SCHOOL_NAME,STATE,ZIPCODE
PUBLIC,Middle/High,PUEBLO COUNTY 70,70 ONLINE,"301 LANE 28 PUEBLO, CO 81001",165.0,168.0,0.9413,0.0209,0.0139,0.0239,0.0,0.9583,0.0,0.0,0.0179,0.0,0.0,0.0238,0.0,0.9583,0.0,0.0,0.0179,0.0,0.0,0.0238,0.0,0.9583,0.0,0.0,0.0179,0.0,0.0,0.0238,0.0,0.9583,0.0,0.0,0.0179,0.0,0.0,0.0238,0.0,0.8929,0.0,0.0,0.0238,0.0595,0.0,0.0238,0.0,0.9212,0.0,0.0,0.0303,0.0242,0.0,0.0242,0.0,301 LANE 28 PUEBLO,81001,24951 EAST HWY50,False,PUEBLO,PUEBLO COUNTY 70,2700,Urban-Suburban,12th Grade,Kindergarten,7192956518,5990,70 ONLINE,CO,81006
PUBLIC,High,DENVER COUNTY 1,ABRAHAM LINCOLN HIGH SCHOOL,"2285 SOUTH FEDERAL BOULEVARD DENVER, CO 80219",1145.0,1145.0,0.9271,0.0048,0.0016,0.0242,0.0424,0.9301,0.0009,0.0009,0.0026,0.0009,0.0,0.0419,0.0227,0.931,0.0,0.0009,0.0026,0.0009,0.0,0.0087,0.0559,0.9493,0.0,0.0009,0.0026,0.0026,0.0,0.0253,0.0192,0.9389,0.0,0.0009,0.0026,0.0009,0.0,0.0349,0.0218,0.8655,0.0044,0.0017,0.0035,0.0044,0.0,0.0341,0.0865,0.9476,0.0,0.0017,0.0026,0.0,0.0,0.0,0.048,2285 SOUTH FEDERAL BOULEVARD DENVER,80219,2285 SOUTH FEDERAL BOULEVARD,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,12th Grade,9th Grade,7204235000,0010,ABRAHAM LINCOLN HIGH SCHOOL,CO,80219
PUBLIC,Elementary,FOUNTAIN 8,ABRAMS ELEMENTARY SCHOOL,"600 CHILES AVENUE FORT CARSON, CO 80902",0.0,477.0,0.9052,0.013,0.0,0.0629,0.0189,0.9329,0.0042,0.0,0.0126,0.0,0.0,0.0314,0.0189,0.9245,0.0021,0.0,0.0084,0.0,0.0,0.0461,0.0189,0.9078,0.0042,0.0,0.0084,0.0,0.0,0.0608,0.0189,0.8805,0.0021,0.0,0.0105,0.0,0.0,0.0881,0.0189,0.8805,0.0021,0.0,0.0105,0.0,0.0,0.0881,0.0189,,,,,,,,,600 CHILES AVENUE FORT CARSON,80902,600 CHILES AVENUE,False,FORT CARSON,FOUNTAIN 8,1000,Urban-Suburban,5th Grade,Kindergarten,7193821490,1334,ABRAMS ELEMENTARY SCHOOL,CO,80902
PUBLIC,Elementary,DENVER COUNTY 1,ACADEMIA ANA MARIE SANDOVAL,"3655 WYANDOT STREET DENVER, CO 80211",0.0,295.0,0.8854,0.0393,0.0061,0.021,0.0475,0.8576,0.0,0.0034,0.0407,0.0034,0.0,0.0475,0.0475,0.878,0.0,0.0034,0.0339,0.0237,0.0,0.0102,0.0475,0.8983,0.0,0.0034,0.0407,0.0034,0.0,0.0068,0.0475,0.9017,0.0,0.0034,0.0305,0.0,0.0,0.0169,0.0475,0.8915,0.0,0.0034,0.0339,0.0,0.0,0.0237,0.0475,,,,,,,,,3655 WYANDOT STREET DENVER,80211,3655 WYANDOT STREET,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,6th Grade,Preschool,7204244370,6397,ACADEMIA ANA MARIE SANDOVAL,CO,80211
PUBLIC,Elementary,DENVER COUNTY 1,ACADEMY 360,"12505 ELMENDORF PL DENVER, CO 80239",0.0,166.0,0.8867,0.0084,0.0,0.0627,0.0422,0.8795,0.0,0.0,0.0,0.0,0.0,0.0783,0.0422,0.8795,0.006,0.0,0.006,0.0,0.0,0.0663,0.0422,0.8855,0.006,0.0,0.006,0.0,0.0,0.0602,0.0422,0.8916,0.006,0.0,0.006,0.0,0.0,0.0542,0.0422,0.8976,0.0,0.0,0.006,0.0,0.0,0.0542,0.0422,,,,,,,,,12505 ELMENDORF PL DENVER,80239,12000 E. 47TH AVE,True,DENVER,DENVER COUNTY 1,0880,Denver Metro,5th Grade,Preschool,3035741360,0099,ACADEMY 360,CO,80239
PUBLIC,Elem/Middle,DOUGLAS COUNTY RE 1,ACADEMY CHARTER SCHOOL,"1551 PRAIRIE HAWK DRIVE CASTLE ROCK, CO 80104",196.0,588.0,0.9688,0.0274,0.0006,0.0032,0.0,0.9609,0.0,0.0,0.034,0.0017,0.0,0.0034,0.0,0.9779,0.0,0.0,0.0204,0.0,0.0,0.0017,0.0,0.9711,0.0,0.0,0.0255,0.0017,0.0,0.0017,0.0,0.9694,0.0034,0.0,0.0238,0.0,0.0,0.0034,0.0,0.9575,0.0017,0.0,0.034,0.0,0.0,0.0068,0.0,0.9898,0.0,0.0,0.0102,0.0,0.0,0.0,0.0,1551 PRAIRIE HAWK DRIVE CASTLE ROCK,80104,1551 PRAIRIE HAWK DRIVE,True,CASTLE ROCK,DOUGLAS COUNTY RE 1,0900,Denver Metro,8th Grade,Preschool,3036604881,0011,ACADEMY CHARTER SCHOOL,CO,80104
PUBLIC,Elementary,ACADEMY 20,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,"3475 HAMPTON PARK DRIVE COLORADO SPRINGS, CO 80920",0.0,572.0,0.9507,0.0143,0.0,0.035,0.0,0.965,0.0,0.0,0.0087,0.0,0.0,0.0262,0.0,0.9738,0.0,0.0,0.0105,0.0,0.0,0.0157,0.0,0.9371,0.0,0.0,0.014,0.0,0.0,0.049,0.0,0.9441,0.0,0.0,0.0175,0.0,0.0,0.0385,0.0,0.9336,0.0,0.0,0.021,0.0,0.0,0.0455,0.0,,,,,,,,,3475 HAMPTON PARK DRIVE COLORADO SPRINGS,80920,3475 HAMPTON PARK DRIVE,False,COLORADO SPRINGS,ACADEMY 20,1040,Urban-Suburban,5th Grade,Kindergarten,7192345600,0017,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,CO,80920
PUBLIC,High,MAPLETON 1,ACADEMY HIGH SCHOOL,"8970 YORK STREET THORNTON, CO 80229",435.0,435.0,0.9414,0.0019,0.0004,0.0333,0.023,0.9586,0.0,0.0,0.0,0.0,0.0,0.0184,0.023,0.9655,0.0,0.0,0.0,0.0,0.0,0.0115,0.023,0.9057,0.0,0.0,0.0,0.0023,0.0,0.069,0.023,0.9609,0.0023,0.0,0.0023,0.0,0.0,0.0115,0.023,0.9011,0.0,0.0,0.0046,0.0,0.0,0.0713,0.023,0.9563,0.0,0.0,0.0023,0.0,0.0,0.0184,0.023,8970 YORK STREET THORNTON,80229,8970 YORK STREET,False,THORNTON,MAPLETON 1,0010,Denver Metro,12th Grade,9th Grade,3038531900,0309,ACADEMY HIGH SCHOOL,CO,80229
PUBLIC,Elementary,ACADEMY 20,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,"8550 CHARITY DRIVE COLORADO SPRINGS, CO 80920",0.0,567.0,0.8871,0.03,0.0,0.0765,0.0063,0.8959,0.0,0.0,0.0282,0.0,0.0,0.0582,0.0176,0.9048,0.0,0.0,0.0282,0.0,0.0,0.06,0.0071,0.873,0.0,0.0,0.0282,0.0,0.0,0.0988,0.0,0.9065,0.0,0.0,0.0317,0.0,0.0,0.0582,0.0035,0.8554,0.0,0.0,0.0335,0.0,0.0,0.1076,0.0035,,,,,,,,,8550 CHARITY DRIVE COLORADO SPRINGS,80920,8550 CHARITY DRIVE,False,COLORADO SPRINGS,ACADEMY 20,1040,Urban-Suburban,5th Grade,Preschool,7192344000,0019,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,CO,80920
PUBLIC,K-12,CHARTER SCHOOL INSTITUTE,ACADEMY OF CHARTER SCHOOLS,"11800 LOWELL BLVD WESTMINSTER, CO 80031",984.0,1820.0,0.9343,0.0104,0.0277,0.0268,0.0,0.9538,0.0011,0.0005,0.0082,0.0324,0.0,0.0038,0.0,0.9604,0.0005,0.0011,0.0088,0.0258,0.0,0.0033,0.0,0.9522,0.0022,0.0005,0.0077,0.0313,0.0,0.006,0.0,0.9538,0.0011,0.0011,0.0066,0.0319,0.0,0.0055,0.0,0.95,0.0011,0.0005,0.0104,0.0319,0.0,0.006,0.0,0.751,0.0,0.0,0.0112,0.0,0.0,0.2287,0.0,11800 LOWELL BLVD WESTMINSTER,80031,11800 LOWELL BLVD,True,WESTMINSTER,CHARTER SCHOOL INSTITUTE,8001,Urban-Suburban,12th Grade,Preschool,3032898088,0015,ACADEMY OF CHARTER SCHOOLS,CO,80031
