country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Gini coefficient
Afghanistan,2016,4.220168590545654,7.461400985717773,0.5590717792510986,52.01652908325195,0.5225661993026733,0.057072121649980545,0.7932455539703369,0.5649526715278625,0.3483322858810425,0.32498955726623535,-1.9176934957504272,-1.4325475692749023,0.4186294972896576
Albania,2016,4.511100769042969,9.337774276733398,0.6384114623069763,68.87181091308594,0.7298189401626587,-0.02327599748969078,0.901070773601532,0.6752437353134155,0.32170599699020386,0.40090981125831604,0.20845556259155273,-0.13916140794754028,0.41654035449028015
Algeria,2016,5.340853691101074,9.541166305541992,0.7485882639884949,65.50951385498047,,,,0.6605104804039001,0.3771119713783264,,-1.0082616806030273,-0.8143039345741272,0.6046167016029358
Argentina,2016,6.427221298217773,9.824954986572266,0.8828191161155701,67.39851379394531,0.8477022051811218,-0.1919524222612381,0.8509244918823242,0.841906726360321,0.3116464614868164,0.41956183314323425,0.38136959075927734,-0.2380019873380661,0.33207082748413086
Armenia,2016,4.325471878051758,9.010698318481445,0.7092183232307434,64.96273040771484,0.6109869480133057,-0.15883883833885193,0.9214210510253906,0.5936002731323242,0.4372278153896332,0.18471303582191467,-0.6090746521949768,-0.14327792823314667,0.38156363368034363
Australia,2016,7.250080108642578,10.701311111450195,0.9423342347145081,72.65033721923828,0.9223157167434692,0.2232683151960373,0.39854511618614197,0.7908682823181152,0.23608578741550446,0.45273175835609436,1.1322160959243774,1.7511913776397705,0.5209141373634338
Austria,2016,7.04807186126709,10.700048446655273,0.9263185858726501,72.04971313476562,0.88851398229599,0.07168454676866531,0.5236409902572632,0.7559025883674622,0.19742384552955627,0.4326382279396057,1.0537632703781128,1.5689698457717896,0.29229429364204407
Azerbaijan,2016,5.303894996643066,9.679969787597656,0.777271032333374,62.96992874145508,0.7125731706619263,-0.2279401421546936,0.6067708134651184,0.5975934863090515,0.19111719727516174,0.7340521216392517,-1.2365553379058838,-0.468448668718338,0.28871601819992065
Bahrain,2016,6.169673442840576,10.70677661895752,0.8627001047134399,66.00422668457031,0.8886910676956177,0.07174377888441086,,0.7871872186660767,0.2834663391113281,,-1.1541681289672852,0.33323895931243896,0.4824555218219757
Bangladesh,2016,4.556140899658203,8.107524871826172,0.6491169333457947,62.20419692993164,0.8747004866600037,-0.08276486396789551,0.6878536343574524,0.5599390864372253,0.23502245545387268,0.8454290628433228,-0.8995468616485596,-0.7195719480514526,0.44017744064331055
Belarus,2016,5.177899360656738,9.725690841674805,0.926551103591919,66.02493286132812,0.6582288146018982,-0.13678334653377533,0.6640551686286926,0.5538702011108398,0.1821061223745346,0.45266902446746826,-0.6356857419013977,-0.6302316188812256,0.3164312541484833
Belgium,2016,6.948936462402344,10.646821022033691,0.9289640784263611,72.14292907714844,0.865759015083313,-0.06489045172929764,0.4966591000556946,0.7645900845527649,0.25965338945388794,0.41917750239372253,0.9179491400718689,1.4181997776031494,0.34862980246543884
Benin,2016,4.007357597351074,7.605870723724365,0.49281585216522217,51.568851470947266,0.779795229434967,-0.04026680067181587,0.837715744972229,0.6082369685173035,0.45576760172843933,0.6374453902244568,0.27533644437789917,-0.5577266216278076,0.46434563398361206
Bolivia,2016,5.769723415374756,8.811049461364746,0.7959587574005127,59.9971809387207,0.8817487359046936,-0.04258493334054947,0.852592945098877,0.783008873462677,0.3764122426509857,0.40174227952957153,-0.0977187529206276,-0.8520423769950867,0.4309495687484741
Bosnia and Herzegovina,2016,5.180865287780762,9.334980964660645,0.8077051043510437,67.83840942382812,0.6334537267684937,0.13228513300418854,0.9573119878768921,0.6407643556594849,0.3040802776813507,0.2121884971857071,-0.27105844020843506,-0.34116482734680176,0.39874333143234253
